Date,DateKey,Day,Month,MonthNo,MonthShort,Quarter,Year
2019-04-01 00:00:00,20190401,Monday,April,4,Apr,2,2019
2019-04-02 00:00:00,20190402,Tuesday,April,4,Apr,2,2019
2019-04-03 00:00:00,20190403,Wednesday,April,4,Apr,2,2019
2019-04-04 00:00:00,20190404,Thursday,April,4,Apr,2,2019
2019-04-05 00:00:00,20190405,Friday,April,4,Apr,2,2019
2019-04-06 00:00:00,20190406,Saturday,April,4,Apr,2,2019
2019-04-07 00:00:00,20190407,Sunday,April,4,Apr,2,2019
2019-04-08 00:00:00,20190408,Monday,April,4,Apr,2,2019
2019-04-09 00:00:00,20190409,Tuesday,April,4,Apr,2,2019
2019-04-10 00:00:00,20190410,Wednesday,April,4,Apr,2,2019
2019-04-11 00:00:00,20190411,Thursday,April,4,Apr,2,2019
2019-04-12 00:00:00,20190412,Friday,April,4,Apr,2,2019
2019-04-13 00:00:00,20190413,Saturday,April,4,Apr,2,2019
2019-04-14 00:00:00,20190414,Sunday,April,4,Apr,2,2019
2019-04-15 00:00:00,20190415,Monday,April,4,Apr,2,2019
2019-04-16 00:00:00,20190416,Tuesday,April,4,Apr,2,2019
2019-04-17 00:00:00,20190417,Wednesday,April,4,Apr,2,2019
2019-04-18 00:00:00,20190418,Thursday,April,4,Apr,2,2019
2019-04-19 00:00:00,20190419,Friday,April,4,Apr,2,2019
2019-04-20 00:00:00,20190420,Saturday,April,4,Apr,2,2019
2019-04-21 00:00:00,20190421,Sunday,April,4,Apr,2,2019
2019-04-22 00:00:00,20190422,Monday,April,4,Apr,2,2019
2019-04-23 00:00:00,20190423,Tuesday,April,4,Apr,2,2019
2019-04-24 00:00:00,20190424,Wednesday,April,4,Apr,2,2019
2019-04-25 00:00:00,20190425,Thursday,April,4,Apr,2,2019
2019-04-26 00:00:00,20190426,Friday,April,4,Apr,2,2019
2019-04-27 00:00:00,20190427,Saturday,April,4,Apr,2,2019
2019-04-28 00:00:00,20190428,Sunday,April,4,Apr,2,2019
2019-04-29 00:00:00,20190429,Monday,April,4,Apr,2,2019
2019-04-30 00:00:00,20190430,Tuesday,April,4,Apr,2,2019
2019-05-01 00:00:00,20190501,Wednesday,May,5,May,2,2019
2019-05-02 00:00:00,20190502,Thursday,May,5,May,2,2019
2019-05-03 00:00:00,20190503,Friday,May,5,May,2,2019
2019-05-04 00:00:00,20190504,Saturday,May,5,May,2,2019
2019-05-05 00:00:00,20190505,Sunday,May,5,May,2,2019
2019-05-06 00:00:00,20190506,Monday,May,5,May,2,2019
2019-05-07 00:00:00,20190507,Tuesday,May,5,May,2,2019
2019-05-08 00:00:00,20190508,Wednesday,May,5,May,2,2019
2019-05-09 00:00:00,20190509,Thursday,May,5,May,2,2019
2019-05-10 00:00:00,20190510,Friday,May,5,May,2,2019
2019-05-11 00:00:00,20190511,Saturday,May,5,May,2,2019
2019-05-12 00:00:00,20190512,Sunday,May,5,May,2,2019
2019-05-13 00:00:00,20190513,Monday,May,5,May,2,2019
2019-05-14 00:00:00,20190514,Tuesday,May,5,May,2,2019
2019-05-15 00:00:00,20190515,Wednesday,May,5,May,2,2019
2019-05-16 00:00:00,20190516,Thursday,May,5,May,2,2019
2019-05-17 00:00:00,20190517,Friday,May,5,May,2,2019
2019-05-18 00:00:00,20190518,Saturday,May,5,May,2,2019
2019-05-19 00:00:00,20190519,Sunday,May,5,May,2,2019
2019-05-20 00:00:00,20190520,Monday,May,5,May,2,2019
2019-05-21 00:00:00,20190521,Tuesday,May,5,May,2,2019
2019-05-22 00:00:00,20190522,Wednesday,May,5,May,2,2019
2019-05-23 00:00:00,20190523,Thursday,May,5,May,2,2019
2019-05-24 00:00:00,20190524,Friday,May,5,May,2,2019
2019-05-25 00:00:00,20190525,Saturday,May,5,May,2,2019
2019-05-26 00:00:00,20190526,Sunday,May,5,May,2,2019
2019-05-27 00:00:00,20190527,Monday,May,5,May,2,2019
2019-05-28 00:00:00,20190528,Tuesday,May,5,May,2,2019
2019-05-29 00:00:00,20190529,Wednesday,May,5,May,2,2019
2019-05-30 00:00:00,20190530,Thursday,May,5,May,2,2019
2019-05-31 00:00:00,20190531,Friday,May,5,May,2,2019
2019-06-01 00:00:00,20190601,Saturday,June,6,Jun,2,2019
2019-06-02 00:00:00,20190602,Sunday,June,6,Jun,2,2019
2019-06-03 00:00:00,20190603,Monday,June,6,Jun,2,2019
2019-06-04 00:00:00,20190604,Tuesday,June,6,Jun,2,2019
2019-06-05 00:00:00,20190605,Wednesday,June,6,Jun,2,2019
2019-06-06 00:00:00,20190606,Thursday,June,6,Jun,2,2019
2019-06-07 00:00:00,20190607,Friday,June,6,Jun,2,2019
2019-06-08 00:00:00,20190608,Saturday,June,6,Jun,2,2019
2019-06-09 00:00:00,20190609,Sunday,June,6,Jun,2,2019
2019-06-10 00:00:00,20190610,Monday,June,6,Jun,2,2019
2019-06-11 00:00:00,20190611,Tuesday,June,6,Jun,2,2019
2019-06-12 00:00:00,20190612,Wednesday,June,6,Jun,2,2019
2019-06-13 00:00:00,20190613,Thursday,June,6,Jun,2,2019
2019-06-14 00:00:00,20190614,Friday,June,6,Jun,2,2019
2019-06-15 00:00:00,20190615,Saturday,June,6,Jun,2,2019
2019-06-16 00:00:00,20190616,Sunday,June,6,Jun,2,2019
2019-06-17 00:00:00,20190617,Monday,June,6,Jun,2,2019
2019-06-18 00:00:00,20190618,Tuesday,June,6,Jun,2,2019
2019-06-19 00:00:00,20190619,Wednesday,June,6,Jun,2,2019
2019-06-20 00:00:00,20190620,Thursday,June,6,Jun,2,2019
2019-06-21 00:00:00,20190621,Friday,June,6,Jun,2,2019
2019-06-22 00:00:00,20190622,Saturday,June,6,Jun,2,2019
2019-06-23 00:00:00,20190623,Sunday,June,6,Jun,2,2019
2019-06-24 00:00:00,20190624,Monday,June,6,Jun,2,2019
2019-06-25 00:00:00,20190625,Tuesday,June,6,Jun,2,2019
2019-06-26 00:00:00,20190626,Wednesday,June,6,Jun,2,2019
2019-06-27 00:00:00,20190627,Thursday,June,6,Jun,2,2019
2019-06-28 00:00:00,20190628,Friday,June,6,Jun,2,2019
2019-06-29 00:00:00,20190629,Saturday,June,6,Jun,2,2019
2019-06-30 00:00:00,20190630,Sunday,June,6,Jun,2,2019
2019-07-01 00:00:00,20190701,Monday,July,7,Jul,3,2019
2019-07-02 00:00:00,20190702,Tuesday,July,7,Jul,3,2019
2019-07-03 00:00:00,20190703,Wednesday,July,7,Jul,3,2019
2019-07-04 00:00:00,20190704,Thursday,July,7,Jul,3,2019
2019-07-05 00:00:00,20190705,Friday,July,7,Jul,3,2019
2019-07-06 00:00:00,20190706,Saturday,July,7,Jul,3,2019
2019-07-07 00:00:00,20190707,Sunday,July,7,Jul,3,2019
2019-07-08 00:00:00,20190708,Monday,July,7,Jul,3,2019
2019-07-09 00:00:00,20190709,Tuesday,July,7,Jul,3,2019
2019-07-10 00:00:00,20190710,Wednesday,July,7,Jul,3,2019
2019-07-11 00:00:00,20190711,Thursday,July,7,Jul,3,2019
2019-07-12 00:00:00,20190712,Friday,July,7,Jul,3,2019
2019-07-13 00:00:00,20190713,Saturday,July,7,Jul,3,2019
2019-07-14 00:00:00,20190714,Sunday,July,7,Jul,3,2019
2019-07-15 00:00:00,20190715,Monday,July,7,Jul,3,2019
2019-07-16 00:00:00,20190716,Tuesday,July,7,Jul,3,2019
2019-07-17 00:00:00,20190717,Wednesday,July,7,Jul,3,2019
2019-07-18 00:00:00,20190718,Thursday,July,7,Jul,3,2019
2019-07-19 00:00:00,20190719,Friday,July,7,Jul,3,2019
2019-07-20 00:00:00,20190720,Saturday,July,7,Jul,3,2019
2019-07-21 00:00:00,20190721,Sunday,July,7,Jul,3,2019
2019-07-22 00:00:00,20190722,Monday,July,7,Jul,3,2019
2019-07-23 00:00:00,20190723,Tuesday,July,7,Jul,3,2019
2019-07-24 00:00:00,20190724,Wednesday,July,7,Jul,3,2019
2019-07-25 00:00:00,20190725,Thursday,July,7,Jul,3,2019
2019-07-26 00:00:00,20190726,Friday,July,7,Jul,3,2019
2019-07-27 00:00:00,20190727,Saturday,July,7,Jul,3,2019
2019-07-28 00:00:00,20190728,Sunday,July,7,Jul,3,2019
2019-07-29 00:00:00,20190729,Monday,July,7,Jul,3,2019
2019-07-30 00:00:00,20190730,Tuesday,July,7,Jul,3,2019
2019-07-31 00:00:00,20190731,Wednesday,July,7,Jul,3,2019
2019-08-01 00:00:00,20190801,Thursday,August,8,Aug,3,2019
2019-08-02 00:00:00,20190802,Friday,August,8,Aug,3,2019
2019-08-03 00:00:00,20190803,Saturday,August,8,Aug,3,2019
2019-08-04 00:00:00,20190804,Sunday,August,8,Aug,3,2019
2019-08-05 00:00:00,20190805,Monday,August,8,Aug,3,2019
2019-08-06 00:00:00,20190806,Tuesday,August,8,Aug,3,2019
2019-08-07 00:00:00,20190807,Wednesday,August,8,Aug,3,2019
2019-08-08 00:00:00,20190808,Thursday,August,8,Aug,3,2019
2019-08-09 00:00:00,20190809,Friday,August,8,Aug,3,2019
2019-08-10 00:00:00,20190810,Saturday,August,8,Aug,3,2019
2019-08-11 00:00:00,20190811,Sunday,August,8,Aug,3,2019
2019-08-12 00:00:00,20190812,Monday,August,8,Aug,3,2019
2019-08-13 00:00:00,20190813,Tuesday,August,8,Aug,3,2019
2019-08-14 00:00:00,20190814,Wednesday,August,8,Aug,3,2019
2019-08-15 00:00:00,20190815,Thursday,August,8,Aug,3,2019
2019-08-16 00:00:00,20190816,Friday,August,8,Aug,3,2019
2019-08-17 00:00:00,20190817,Saturday,August,8,Aug,3,2019
2019-08-18 00:00:00,20190818,Sunday,August,8,Aug,3,2019
2019-08-19 00:00:00,20190819,Monday,August,8,Aug,3,2019
2019-08-20 00:00:00,20190820,Tuesday,August,8,Aug,3,2019
2019-08-21 00:00:00,20190821,Wednesday,August,8,Aug,3,2019
2019-08-22 00:00:00,20190822,Thursday,August,8,Aug,3,2019
2019-08-23 00:00:00,20190823,Friday,August,8,Aug,3,2019
2019-08-24 00:00:00,20190824,Saturday,August,8,Aug,3,2019
2019-08-25 00:00:00,20190825,Sunday,August,8,Aug,3,2019
2019-08-26 00:00:00,20190826,Monday,August,8,Aug,3,2019
2019-08-27 00:00:00,20190827,Tuesday,August,8,Aug,3,2019
2019-08-28 00:00:00,20190828,Wednesday,August,8,Aug,3,2019
2019-08-29 00:00:00,20190829,Thursday,August,8,Aug,3,2019
2019-08-30 00:00:00,20190830,Friday,August,8,Aug,3,2019
2019-08-31 00:00:00,20190831,Saturday,August,8,Aug,3,2019
2019-09-01 00:00:00,20190901,Sunday,September,9,Sep,3,2019
2019-09-02 00:00:00,20190902,Monday,September,9,Sep,3,2019
2019-09-03 00:00:00,20190903,Tuesday,September,9,Sep,3,2019
2019-09-04 00:00:00,20190904,Wednesday,September,9,Sep,3,2019
2019-09-05 00:00:00,20190905,Thursday,September,9,Sep,3,2019
